ZCTA,UHFCODE,UHFNAME,Borough,Month,Consumption (KWH),Consumption (KW),KWH Charges,KW Charges,Current Charges,Avg_Temp
10468,103,Fordham - Bronx Park,BRONX,2010-01-01,26765002.0,45512.94,1514385.19,582601.99,3262095.89,54.7
10469,102,Northeast Bronx,BRONX,2010-01-01,26765002.0,45512.94,1514385.19,582601.99,3262095.89,54.7
10470,102,Northeast Bronx,BRONX,2010-01-01,26765002.0,45512.94,1514385.19,582601.99,3262095.89,54.7
10471,101,Kingsbridge - Riverdale,BRONX,2010-01-01,26765002.0,45512.94,1514385.19,582601.99,3262095.89,54.7
10472,104,Pelham - Throgs Neck,BRONX,2010-01-01,26765002.0,45512.94,1514385.19,582601.99,3262095.89,54.7
10473,104,Pelham - Throgs Neck,BRONX,2010-01-01,26765002.0,45512.94,1514385.19,582601.99,3262095.89,54.7
10474,107,Hunts Point - Mott Haven,BRONX,2010-01-01,26765002.0,45512.94,1514385.19,582601.99,3262095.89,54.7
10475,102,Northeast Bronx,BRONX,2010-01-01,26765002.0,45512.94,1514385.19,582601.99,3262095.89,54.7
10451,106,High Bridge - Morrisania,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10452,106,High Bridge - Morrisania,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10453,105,Crotona - Tremont,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10454,107,Hunts Point - Mott Haven,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10455,107,Hunts Point - Mott Haven,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10456,106,High Bridge - Morrisania,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10457,105,Crotona - Tremont,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10458,103,Fordham - Bronx Park,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10459,107,Hunts Point - Mott Haven,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10460,105,Crotona - Tremont,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10461,104,Pelham - Throgs Neck,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10462,104,Pelham - Throgs Neck,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10463,101,Kingsbridge - Riverdale,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10464,104,Pelham - Throgs Neck,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10465,104,Pelham - Throgs Neck,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10466,102,Northeast Bronx,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10467,103,Fordham - Bronx Park,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10468,103,Fordham - Bronx Park,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10469,102,Northeast Bronx,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10470,102,Northeast Bronx,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10471,101,Kingsbridge - Riverdale,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10472,104,Pelham - Throgs Neck,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10473,104,Pelham - Throgs Neck,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10474,107,Hunts Point - Mott Haven,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10475,102,Northeast Bronx,BRONX,2010-02-01,23581086.0,44393.67,1368397.16,566445.6,2922307.54,54.4
10451,106,High Bridge - Morrisania,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10452,106,High Bridge - Morrisania,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10453,105,Crotona - Tremont,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10454,107,Hunts Point - Mott Haven,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10455,107,Hunts Point - Mott Haven,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10456,106,High Bridge - Morrisania,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10457,105,Crotona - Tremont,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10458,103,Fordham - Bronx Park,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10459,107,Hunts Point - Mott Haven,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10460,105,Crotona - Tremont,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10461,104,Pelham - Throgs Neck,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10462,104,Pelham - Throgs Neck,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10463,101,Kingsbridge - Riverdale,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10464,104,Pelham - Throgs Neck,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10465,104,Pelham - Throgs Neck,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10466,102,Northeast Bronx,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10467,103,Fordham - Bronx Park,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10468,103,Fordham - Bronx Park,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10469,102,Northeast Bronx,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10470,102,Northeast Bronx,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10471,101,Kingsbridge - Riverdale,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10472,104,Pelham - Throgs Neck,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10473,104,Pelham - Throgs Neck,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10474,107,Hunts Point - Mott Haven,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10475,102,Northeast Bronx,BRONX,2010-03-01,22213157.0,44631.42,1288409.82,567977.97,2904914.29,54.9
10451,106,High Bridge - Morrisania,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10452,106,High Bridge - Morrisania,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10453,105,Crotona - Tremont,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10454,107,Hunts Point - Mott Haven,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10455,107,Hunts Point - Mott Haven,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10456,106,High Bridge - Morrisania,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10457,105,Crotona - Tremont,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10458,103,Fordham - Bronx Park,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10459,107,Hunts Point - Mott Haven,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10460,105,Crotona - Tremont,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10461,104,Pelham - Throgs Neck,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10462,104,Pelham - Throgs Neck,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10463,101,Kingsbridge - Riverdale,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10464,104,Pelham - Throgs Neck,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10465,104,Pelham - Throgs Neck,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10466,102,Northeast Bronx,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10467,103,Fordham - Bronx Park,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10468,103,Fordham - Bronx Park,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10469,102,Northeast Bronx,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10470,102,Northeast Bronx,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10471,101,Kingsbridge - Riverdale,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10472,104,Pelham - Throgs Neck,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10473,104,Pelham - Throgs Neck,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10474,107,Hunts Point - Mott Haven,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10475,102,Northeast Bronx,BRONX,2010-04-01,22084746.0,45248.19,1279390.1,576378.33,3109659.27,55.2
10451,106,High Bridge - Morrisania,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10452,106,High Bridge - Morrisania,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10453,105,Crotona - Tremont,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10454,107,Hunts Point - Mott Haven,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10455,107,Hunts Point - Mott Haven,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10456,106,High Bridge - Morrisania,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10457,105,Crotona - Tremont,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10458,103,Fordham - Bronx Park,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10459,107,Hunts Point - Mott Haven,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10460,105,Crotona - Tremont,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10461,104,Pelham - Throgs Neck,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10462,104,Pelham - Throgs Neck,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10463,101,Kingsbridge - Riverdale,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10464,104,Pelham - Throgs Neck,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10465,104,Pelham - Throgs Neck,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10466,102,Northeast Bronx,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10467,103,Fordham - Bronx Park,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10468,103,Fordham - Bronx Park,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10469,102,Northeast Bronx,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10470,102,Northeast Bronx,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10471,101,Kingsbridge - Riverdale,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10472,104,Pelham - Throgs Neck,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10473,104,Pelham - Throgs Neck,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10474,107,Hunts Point - Mott Haven,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10475,102,Northeast Bronx,BRONX,2010-05-01,22729296.0,51971.16,1316067.47,662899.55,3234681.66,55.4
10451,106,High Bridge - Morrisania,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10452,106,High Bridge - Morrisania,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10453,105,Crotona - Tremont,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10454,107,Hunts Point - Mott Haven,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10455,107,Hunts Point - Mott Haven,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10456,106,High Bridge - Morrisania,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10457,105,Crotona - Tremont,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10458,103,Fordham - Bronx Park,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
